id_poste,id_entreprise,titre,description,skills,annee_experience,salaire_min,salaire_max,type_contrat,remote_policy,langues,latitude,longitude
151,66,Ad Operations Specialist F/M,"**Ad Operations Specialist** F/M
--------------------------------

📍 Warsaw, Poland  
👉 Work Model: Hybrid  
📅 From April 2026

* * *

### VALIUZ: WHO ARE WE?

Backed by an alliance of leading French retail companies and unparalleled customer knowledge in France, Valiuz offers solutions and services tailored to both retailers and brands.

These solutions enable business teams to leverage their ","[{'name': 'Management', 'value': 50.0}, {'name': 'Jira', 'value': 50.0}, {'name': 'Salesforce', 'value': 50.0}]",1,,,"{""permanent"": true}",2.0,,,
152,67,Senior Product Engineer - iOS/Swift,"**Our mission and customers:** We are creating the freedom for SMEs to succeed by delivering Europe's leading finance workspace with banking at its core, augmented by financial tools. We are proud to be [_**rated 4.8 on Trustpilot**_](https://www.trustpilot.com/review/qonto.com)**_[,](https://www.trustpilot.com/review/qonto.com)_** based on 55,000+ reviews. [**_Our culture_**](https://qonto.com/en","[{'name': 'IOS', 'value': 50.0}, {'name': 'Swift', 'value': 50.0}, {'name': 'Claude Code', 'value': 50.0}, {'name': 'Firebase', 'value': 50.0}, {'name': 'Github', 'value': 50.0}, {'name': 'Notion', 'value': 50.0}, {'name': 'SwiftUI', 'value': 50.0}]",0,,,"{""permanent"": true}",,,,
153,67,Senior iOS Engineer,"**Our mission and customers:** We are creating the freedom for SMEs to succeed by delivering Europe's leading finance workspace with banking at its core, augmented by financial tools. We are proud to be [_**rated 4.8 on Trustpilot**_](https://www.trustpilot.com/review/qonto.com)**_[,](https://www.trustpilot.com/review/qonto.com)_** based on 55,000+ reviews. [**_Our culture_**](https://qonto.com/en","[{'name': 'IOS', 'value': 50.0}, {'name': 'Swift', 'value': 50.0}, {'name': 'Claude Code', 'value': 50.0}, {'name': 'Firebase', 'value': 50.0}, {'name': 'Github', 'value': 50.0}, {'name': 'Notion', 'value': 50.0}, {'name': 'SwiftUI', 'value': 50.0}]",3,,,"{""permanent"": true}",2.0,,,
154,68,Producer – Open Application | Producteur - candidature libre,"(Version française ci-dessous)

  

Thank you for your interest in a career at Larian Studios!

  

We’re always looking to connect with talented and passionate developers — especially those with expertise in production. While we may not have an immediate opening at this time, by applying to this listing, you're expressing your interest in being considered for future opportunities at Larian Studio",,0,,,"{""permanent"": true}",,,,
155,68,DevOps – Open Application | DevOps - candidature libre,"(Version française ci-dessous)

  

Thank you for your interest in a career at Larian Studios!

  

We’re always looking to connect with talented and passionate developers — especially those with expertise in DevOps and infrastructure. While we may not have an immediate opening at this time, by applying to this listing, you're expressing your interest in being considered for future opportunities a",,0,,,"{""permanent"": true}",,,,
156,68,Tools Programmer – Open Application | Programmeur d&#39;outils - candidature libre,"(Version française ci-dessous)

  

Thank you for your interest in a career at Larian Studios!

  

We’re always looking to connect with talented and passionate developers — especially those with expertise in tools programming. While we may not have an immediate opening at this time, by applying to this listing, you're expressing your interest in being considered for future opportunities at Larian","[{'name': 'WPF', 'value': 50.0}]",0,,,"{""permanent"": true}",,,,
157,68,Senior Tools Programmer,"With multiple awards to our name, Larian Studios has proven that we’re dedicated to delivering high-quality role-playing games As we move on to new projects, the studio that brought you Baldur’s Gate 3 & Divinity: Original Sin 2 is looking for a Tools Programmer to join the team and help us in crafting the high calibre games our fans have come to expect.

\\n

  

**Responsibilities**

*   Develop","[{'name': 'C#', 'value': 50.0}, {'name': 'C++', 'value': 50.0}, {'name': 'Python', 'value': 50.0}, {'name': 'WPF', 'value': 50.0}]",5,,,"{""permanent"": true}",,,,
158,68,Level Designer – Open Application | Concepteur de niveaux - candidature libre,"(Version française ci-dessous)

  

Thank you for your interest in a career at Larian Studios!

  

We’re always looking to connect with talented and passionate developers — especially those with expertise in level design. While we may not have an immediate opening at this time, by applying to this listing, you're expressing your interest in being considered for future opportunities at Larian Stud",,0,,,"{""permanent"": true}",,,,
160,68,Animator – Open Application | Animateur - candidature libre,"(Version française ci-dessous)

Thank you for your interest in a career at Larian Studios!

We’re always looking to connect with talented and passionate developers — especially those with expertise in animation. While we may not have an immediate opening at this time, by applying to this listing, you're expressing your interest in being considered for future opportunities at Larian Studios.

As an",,0,,,"{""permanent"": true}",,,,
161,68,Engine Programmer – Open Application | Programmeur moteur - candidature libre,"(Version française ci-dessous)

Thank you for your interest in a career at Larian Studios!

We’re always looking to connect with talented and passionate developers — especially those with expertise in engine programming. While we may not have an immediate opening at this time, by applying to this listing, you're expressing your interest in being considered for future opportunities at Larian Studio","[{'name': 'C++', 'value': 50.0}]",0,,,"{""permanent"": true}",,,,
162,68,Graphics Programmer – Open Application | Programmeur graphique - candidature libre,"(Version française ci-dessous)

Thank you for your interest in a career at Larian Studios!

We’re always looking to connect with talented and passionate developers — especially those with expertise in graphics programming. While we may not have an immediate opening at this time, by applying to this listing, you're expressing your interest in being considered for future opportunities at Larian Stud",,0,,,"{""permanent"": true}",,,,
163,68,Technical Animator or Rigger – Open Application | Animateur technique ou de squelettage - candidature ouverte,"(Version française ci-dessous)

  

Thank you for your interest in a career at Larian Studios!

  

We’re always looking to connect with talented and passionate developers — especially those with expertise in technical animation or rigging. While we may not have an immediate opening at this time, by applying to this listing, you're expressing your interest in being considered for future opportunit",,0,,,"{""permanent"": true}",,,,
164,68,Lighting Artist – Open Application | Artiste spécialiste de l&#39;éclairage - candidature libre,"(Version française ci-dessous)

  

Thank you for your interest in a career at Larian Studios!

  

We’re always looking to connect with talented and passionate developers — especially those with expertise in lighting art. While we may not have an immediate opening at this time, by applying to this listing, you're expressing your interest in being considered for future opportunities at Larian Stud",,0,,,"{""permanent"": true}",,,,
165,68,Technical Artist – Open Application | Artiste technique - candidature libre,"(Version française ci-dessous)

  

Thank you for your interest in a career at Larian Studios!

  

We’re always looking to connect with talented and passionate developers — especially those with expertise in technical art. While we may not have an immediate opening at this time, by applying to this listing, you're expressing your interest in being considered for future opportunities at Larian Stu",,0,,,"{""permanent"": true}",,,,
166,68,Gameplay Programmer – Open Application | Programmeur gameplay - candidature libre,"(Version française ci-dessous)

  

Thank you for your interest in a career at Larian Studios!

  

We’re always looking to connect with talented and passionate developers — especially those with expertise in gameplay programming. While we may not have an immediate opening at this time, by applying to this listing, you're expressing your interest in being considered for future opportunities at Lar","[{'name': 'C++', 'value': 50.0}]",0,,,"{""permanent"": true}",,,,
